200,2199,17.5989,2.80402,7.50737e-05,17.6626,3.50991e-05,7.75052
200,2199,19.506,2.43732,8.17045e-05,17.7052,3.5968e-05,6.83107
200,2199,17.945,2.4474,8.96393e-05,17.8109,3.54471e-05,6.81948
200,2199,17.7711,2.5257,7.55744e-05,18.0487,3.50536e-05,6.85813
200,2199,24.6438,2.42261,7.78194e-05,17.3977,3.46332e-05,6.40487
200,2199,23.4722,2.52137,8.55328e-05,17.8876,3.51124e-05,6.79916
200,2199,17.7247,2.52799,8.27286e-05,17.7153,3.54484e-05,6.89494
200,2199,17.8674,2.39799,7.61006e-05,17.6608,3.51331e-05,6.82827
200,2199,25.5838,2.23378,7.42565e-05,17.0529,3.34603e-05,6.4357
200,2199,20.9774,2.71608,7.99068e-05,18.0608,3.52706e-05,6.82323
500,100499,2816.67,28.1019,8.97092e-05,220.236,3.87978e-05,91.9782
500,100499,2779.13,29.4337,9.51954e-05,246.283,3.83895e-05,90.5235
500,100499,2871.66,25.6806,8.53512e-05,223.472,4.03444e-05,91.2407
500,100499,2768.47,25.9726,9.25789e-05,225.959,4.01006e-05,91.6718
500,100499,2778.06,25.6691,8.5476e-05,221.597,3.88365e-05,91.1103
500,100499,2828.64,26.2766,9.82563e-05,219.475,3.87239e-05,93.5209
500,100499,2768.2,25.5598,9.27546e-05,223.743,4.13002e-05,91.4292
500,100499,2753.03,25.3717,8.75382e-05,224.962,3.95843e-05,91.4136
500,100499,2788.64,26.5259,9.80901e-05,230.115,3.97761e-05,91.79
500,100499,2795.87,26.8794,8.75819e-05,222.455,3.93138e-05,91.4599
550,100549,3846.08,28.2688,8.52389e-05,261.323,4.04356e-05,122.146
550,100549,3819.17,28.3575,8.90797e-05,256.883,4.08905e-05,121.88
550,100549,3824.69,29.4855,9.24403e-05,254.204,4.0513e-05,133.569
550,100549,3816.48,27.8212,8.93036e-05,268.653,4.12966e-05,123.069
550,100549,3844.25,31.2498,9.85304e-05,254.213,4.11102e-05,122.413
550,100549,3798.57,27.8169,8.73048e-05,256.5,4.16376e-05,121.963
550,100549,3747.89,31.6152,9.80132e-05,257.561,4.14605e-05,122
550,100549,3790.24,33.4877,9.78525e-05,279.254,4.58277e-05,121.393
550,100549,3821.02,28.6487,8.58865e-05,259.871,4.03071e-05,122.542
550,100549,3779.51,30.0489,9.46657e-05,256.691,4.04611e-05,121.087
600,100599,4876.27,30.3787,9.6273e-05,285.75,3.97488e-05,157.896
600,100599,4876.07,30.9929,9.79672e-05,288.842,4.03397e-05,157.335
600,100599,4931.47,32.2028,9.69495e-05,289.239,3.99314e-05,157.601
600,100599,4937.93,30.8645,0.000100272,286.04,3.9498e-05,156.806
600,100599,4858.96,31.4164,9.2666e-05,295.621,4.08632e-05,156.773
600,100599,4833.31,30.8745,9.29805e-05,290.564,4.03171e-05,157.16
600,100599,4952.62,29.3703,8.75367e-05,287.296,4.04086e-05,158.515
600,100599,4822.54,30.9249,0.000100642,289.255,3.99905e-05,157.476
600,100599,4918.93,31.9902,9.61475e-05,286.016,4.01171e-05,157.284
600,100599,5185.34,33.2025,9.32382e-05,283.918,4.02265e-05,156.737
650,100649,6080.16,33.6646,9.18313e-05,330.085,4.30446e-05,202.042
650,100649,6073.01,34.3107,0.000124445,328.154,4.25989e-05,203.469
650,100649,6139.68,34.0433,9.27046e-05,323.416,3.98784e-05,199.733
650,100649,6164.85,34.5742,9.28013e-05,332.69,4.36191e-05,203.065
650,100649,6070.58,33.0899,9.60893e-05,326.438,4.03631e-05,199
650,100649,6088.88,34.1719,9.22853e-05,324.415,4.12336e-05,200.333
650,100649,6132.79,34.6108,8.60444e-05,324.192,4.15089e-05,212.5
650,100649,6078.3,33.626,9.17202e-05,321.28,4.19982e-05,202.091
650,100649,6166.22,32.7527,0.000100339,329.825,4.17036e-05,203.319
650,100649,6147.76,34.7806,9.74656e-05,330.948,4.25998e-05,205.021
700,100699,7534.47,50.8166,9.68681e-05,357.342,4.00071e-05,247.772
700,100699,7476.28,36.5241,9.79153e-05,374.477,4.13972e-05,252.263
700,100699,7514.32,37.4238,9.67182e-05,358.972,4.19011e-05,253.624
700,100699,7476.77,36.7522,9.71896e-05,365.223,4.15304e-05,255.84
700,100699,7392.81,38.9856,9.80933e-05,359.974,4.11248e-05,251.461
700,100699,7388.39,36.9544,9.75594e-05,364.265,4.16954e-05,252.474
700,100699,7340.3,38.2832,9.33329e-05,358.92,4.07019e-05,253.093
700,100699,7511.26,39.256,9.54741e-05,362.677,4.25854e-05,253.472
700,100699,7417.91,36.3777,9.8086e-05,362.828,4.11073e-05,265
700,100699,7414.99,36.4547,9.44069e-05,363.256,4.22816e-05,251.91
750,100749,8842.31,37.5596,8.95367e-05,393.467,4.17879e-05,308.077
750,100749,8826.15,40.113,9.71422e-05,398.617,4.18778e-05,311.179
750,100749,9235.48,38.401,0.000102224,402.383,4.17074e-05,320.14
750,100749,9016.86,37.5162,9.53391e-05,406.822,4.21482e-05,312.381
750,100749,8829.48,37.2043,0.000105503,400.081,4.09764e-05,304.578
750,100749,8864.69,37.8371,0.000100954,406.416,4.05737e-05,305.744
750,100749,8712.5,37.2717,9.71456e-05,398.556,4.12119e-05,304.725
750,100749,8722.7,39.4002,9.82499e-05,403.958,4.12183e-05,304.171
750,100749,8758.49,40.3089,9.36816e-05,402.018,4.07583e-05,305.508
750,100749,8724.17,39.0581,9.79296e-05,401.259,4.14063e-05,305.732
800,100799,10340.2,40.2137,9.60937e-05,466.197,4.39949e-05,372.214
